"Data zamówienia";"Nr zamówienia";"Numer projektu";"Zlecenie";"Status wysyłki";"Tydzień dostawy";"Rodzaj dostawy";"Śledzenie";"Reklamacja";"rodzaj zamówienia";"Suma";"";"";"";""
"5.12.2025";"805/2025";"";"136704697";"Potwierdzona dostawa";"2026/4";"TIR";"";"";"Zamówienie";"542,75 €";"542,75";"EUR";"";""
"5.12.2025";"806/2025";"";"136704691";"Potwierdzona dostawa";"2026/4";"TIR";"";"";"Zamówienie";"240,25 €";"240,25";"EUR";"";""
"5.12.2025";"804/2025/cz";"";"136702902";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"394,96 €";"394,96";"EUR";"";""
"4.12.2025";"803/2025/AKR.00";"";"136702128";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"1 607,23 €";"1 607,23";"EUR";"";""
"4.12.2025";"788/2025";"";"136701411";"Potwierdzona dostawa";"2026/2";"TIR";"";"";"Zamówienie";"2 234,50 €";"2 234,50";"EUR";"";""
"4.12.2025";"802/2025/AKR.00";"";"136701408";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"1 964,17 €";"1 964,17";"EUR";"";""
"4.12.2025";"801/2025/AKR.73";"";"136701405";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"2 150,63 €";"2 150,63";"EUR";"";""
"4.12.2025";"729/2025/AKR.750";"";"136701404";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"1 541,60 €";"1 541,60";"EUR";"";""
"4.12.2025";"728/2025/AKR.750";"";"136701403";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"1 933,21 €";"1 933,21";"EUR";"";""
"4.12.2025";"799/2025";"";"136700865";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"62,30 €";"62,30";"EUR";"";""
"4.12.2025";"800/2025";"";"136700838";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"318,83 €";"318,83";"EUR";"";""
"4.12.2025";"792/2025";"";"136699805";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"93,61 €";"93,61";"EUR";"";""
"3.12.2025";"798/2025";"";"136699318";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"68,47 €";"68,47";"EUR";"";""
"3.12.2025";"794/2025";"";"136698766";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"72,75 €";"72,75";"EUR";"";""
"3.12.2025";"795/2025";"";"136698762";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"41,08 €";"41,08";"EUR";"";""
"3.12.2025";"796/2025";"";"136698760";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"242,29 €";"242,29";"EUR";"";""
"3.12.2025";"797/2025";"";"136698757";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"62,30 €";"62,30";"EUR";"";""
"3.12.2025";"793/2025 balustrada";"";"136698351";"Całkowicie dostarczone";"2025/50";"TIR";"";"";"Zamówienie";"33,12 €";"33,12";"EUR";"";""
"2.12.2025";"791/2025";"";"136695450";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"240,25 €";"240,25";"EUR";"";""
"2.12.2025";"789/2025";"";"136692761";"Potwierdzona dostawa";"2026/2";"TIR";"";"";"Zamówienie";"27,40 €";"27,40";"EUR";"";""
"2.12.2025";"790/2025/CZ";"";"136692760";"Częściowo dostarczono";"2026/2";"TIR";"";"";"Zamówienie";"153,80 €";"153,80";"EUR";"";""
"28.11.2025";"787/2025";"";"136689054";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"327,40 €";"327,40";"EUR";"";""
"28.11.2025";"785/2025";"";"136689050";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"72,75 €";"72,75";"EUR";"";""
"28.11.2025";"786/2025";"";"136689049";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"29,88 €";"29,88";"EUR";"";""
"27.11.2025";"783/2025";"";"136681607";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"107,27 €";"107,27";"EUR";"";""
"27.11.2025";"784/2025";"";"136681605";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"615,71 €";"615,71";"EUR";"";""
"26.11.2025";"782/2025";"";"136677637";"Potwierdzona dostawa";"2026/2";"TIR";"";"";"Zamówienie";"140,49 €";"140,49";"EUR";"";""
"26.11.2025";"781/2025";"";"136677636";"Całkowicie dostarczone";"2025/50";"TIR";"";"";"Zamówienie";"36,37 €";"36,37";"EUR";"";""
"25.11.2025";"780/2025";"";"136674461";"Potwierdzona dostawa";"2026/2";"TIR";"";"";"Zamówienie";"66,23 €";"66,23";"EUR";"";""
"25.11.2025";"779/2025";"";"136674460";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"143,03 €";"143,03";"EUR";"";""
"5.12.2025";"805/2025";"";"136704697";"Potwierdzona dostawa";"2026/4";" TIR ";"";"";"Zamówienie";"542,75 €";"542,75";"EUR";"";""
"5.12.2025";"806/2025";"";"136704691";"Potwierdzona dostawa";"2026/4";" TIR ";"";"";"Zamówienie";"240,25 €";"240,25";"EUR";"";""
"5.12.2025";"804/2025/cz";"";"136702902";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"394,96 €";"394,96";"EUR";"";""
"4.12.2025";"803/2025/AKR.00";"";"136702128";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"1 607,23 €";"1 607,23";"EUR";"";""
"4.12.2025";"788/2025";"";"136701411";"Potwierdzona dostawa";"2026/2";" TIR ";"";"";"Zamówienie";"2 234,50 €";"2 234,50";"EUR";"";""
"4.12.2025";"802/2025/AKR.00";"";"136701408";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"1 964,17 €";"1 964,17";"EUR";"";""
"4.12.2025";"801/2025/AKR.73";"";"136701405";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"2 150,63 €";"2 150,63";"EUR";"";""
"4.12.2025";"729/2025/AKR.750";"";"136701404";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"1 541,60 €";"1 541,60";"EUR";"";""
"4.12.2025";"728/2025/AKR.750";"";"136701403";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"1 933,21 €";"1 933,21";"EUR";"";""
"4.12.2025";"799/2025";"";"136700865";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"62,30 €";"62,30";"EUR";"";""
"4.12.2025";"800/2025";"";"136700838";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"318,83 €";"318,83";"EUR";"";""
"4.12.2025";"792/2025";"";"136699805";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"93,61 €";"93,61";"EUR";"";""
"3.12.2025";"798/2025";"";"136699318";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"68,47 €";"68,47";"EUR";"";""
"3.12.2025";"794/2025";"";"136698766";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"72,75 €";"72,75";"EUR";"";""
"3.12.2025";"795/2025";"";"136698762";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"41,08 €";"41,08";"EUR";"";""
"3.12.2025";"796/2025";"";"136698760";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"242,29 €";"242,29";"EUR";"";""
"3.12.2025";"797/2025";"";"136698757";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"62,30 €";"62,30";"EUR";"";""
"3.12.2025";"793/2025 balustrada";"";"136698351";"Całkowicie dostarczone";"2025/50";" TIR ";"";"";"Zamówienie";"33,12 €";"33,12";"EUR";"";""
"2.12.2025";"791/2025";"";"136695450";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"240,25 €";"240,25";"EUR";"";""
"2.12.2025";"789/2025";"";"136692761";"Potwierdzona dostawa";"2026/2";" TIR ";"";"";"Zamówienie";"27,40 €";"27,40";"EUR";"";""
"2.12.2025";"790/2025/CZ";"";"136692760";"Częściowo dostarczono";"2026/2";" TIR ";"";"";"Zamówienie";"153,80 €";"153,80";"EUR";"";""
"28.11.2025";"787/2025";"";"136689054";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"327,40 €";"327,40";"EUR";"";""
"28.11.2025";"785/2025";"";"136689050";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"72,75 €";"72,75";"EUR";"";""
"28.11.2025";"786/2025";"";"136689049";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"29,88 €";"29,88";"EUR";"";""
"27.11.2025";"783/2025";"";"136681607";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"107,27 €";"107,27";"EUR";"";""
"27.11.2025";"784/2025";"";"136681605";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"615,71 €";"615,71";"EUR";"";""
"26.11.2025";"782/2025";"";"136677637";"Potwierdzona dostawa";"2026/2";" TIR ";"";"";"Zamówienie";"140,49 €";"140,49";"EUR";"";""
"26.11.2025";"781/2025";"";"136677636";"Całkowicie dostarczone";"2025/50";" TIR ";"";"";"Zamówienie";"36,37 €";"36,37";"EUR";"";""
"25.11.2025";"780/2025";"";"136674461";"Potwierdzona dostawa";"2026/2";" TIR ";"";"";"Zamówienie";"66,23 €";"66,23";"EUR";"";""
"25.11.2025";"779/2025";"";"136674460";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"143,03 €";"143,03";"EUR";"";""
"25.11.2025";"778/2025";"";"136674459";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"107,27 €";"107,27";"EUR";"";""
"25.11.2025";"777/2025";"";"136674440";"Potwierdzona dostawa";"2026/2";" TIR ";"";"";"Zamówienie";"274,62 €";"274,62";"EUR";"";""
"25.11.2025";"776/2025";"";"136674438";"Całkowicie dostarczone";"2025/50";" TIR ";"";"";"Zamówienie";"38,75 €";"38,75";"EUR";"";""
"25.11.2025";"775/2025/CZ";"";"136672919";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"38,07 €";"38,07";"EUR";"";""
"25.11.2025";"774/2025/CZ";"";"136672698";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"326,20 €";"326,20";"EUR";"";""
"25.11.2025";"773/2025/STAL";"";"136672697";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"1 492,27 €";"1 492,27";"EUR";"";""
"21.11.2025";"771/2025";"";"136667143";"Potwierdzona dostawa";"2026/2";" TIR ";"";"";"Zamówienie";"451,90 €";"451,90";"EUR";"";""
"21.11.2025";"772/2025";"";"136667142";"Całkowicie dostarczone";"2025/50";" TIR ";"";"";"Zamówienie";"136,98 €";"136,98";"EUR";"";""
"21.11.2025";"768/2025 hs";"";"136666834";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"2 319,01 €";"2 319,01";"EUR";"";""
"21.11.2025";"768/A/2025";"";"136666833";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"1 026,61 €";"1 026,61";"EUR";"";""
"20.11.2025";"770/2025";"";"136663870";"Potwierdzona dostawa";"2026/2";" TIR ";"";"";"Zamówienie";"1 572,12 €";"1 572,12";"EUR";"";""
"20.11.2025";"769/2025";"";"136663493";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"89,64 €";"89,64";"EUR";"";""
"18.11.2025";"767/2025";"";"136656895";"Całkowicie dostarczone";"2025/50";" TIR ";"";"";"Zamówienie";"847,35 €";"847,35";"EUR";"";""
"18.11.2025";"766/2025";"";"136656893";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"62,30 €";"62,30";"EUR";"";""
"18.11.2025";"765/2025";"";"136656892";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"153,94 €";"153,94";"EUR";"";""
"18.11.2025";"764/2025";"";"136656889";"Całkowicie dostarczone";"2025/50";" TIR ";"";"";"Zamówienie";"336,03 €";"336,03";"EUR";"";""
"18.11.2025";"763/2025";"";"136656044";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"124,59 €";"124,59";"EUR";"";""
"18.11.2025";"762/2025";"";"136656042";"Całkowicie dostarczone";"2025/50";" TIR ";"";"";"Zamówienie";"725,97 €";"725,97";"EUR";"";""
"18.11.2025";"761/2025/CZ";"";"136654023";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"205,07 €";"205,07";"EUR";"";""
"18.11.2025";"760/2025";"";"136654021";"Całkowicie dostarczone";"2025/50";" TIR ";"";"";"Zamówienie";"202,49 €";"202,49";"EUR";"";""
"18.11.2025";"759/2025";"";"136654020";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"42,23 €";"42,23";"EUR";"";""
"18.11.2025";"758/2025";"";"136654018";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"1 209,01 €";"1 209,01";"EUR";"";""
"14.11.2025";"757/2025/POSZ.";"";"136648291";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"2 396,26 €";"2 396,26";"EUR";"";""
"14.11.2025";"756/2025/AKR/05/D";"";"136648290";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"10 039,63 €";"10 039,63";"EUR";"";""
"14.11.2025";"755/2025/AKR.00/D";"";"136648281";"Całkowicie dostarczone";"2025/50";" TIR ";"";"";"Zamówienie";"19 568,30 €";"19 568,30";"EUR";"";""
"14.11.2025";"754/2025/AKR.73/D";"";"136648279";"Całkowicie dostarczone";"2025/50";" TIR ";"";"";"Zamówienie";"26 970,75 €";"26 970,75";"EUR";"";""
"14.11.2025";"744/2025/AKR.00";"";"136647743";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"5 312,69 €";"5 312,69";"EUR";"";""
"14.11.2025";"743/2025/AKR.05";"";"136647719";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"1 493,60 €";"1 493,60";"EUR";"";""
"14.11.2025";"745/2025/AKR.05";"";"136647718";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"1 469,25 €";"1 469,25";"EUR";"";""
"14.11.2025";"733/2025/AKR.00";"";"136647493";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"1 607,23 €";"1 607,23";"EUR";"";""
"14.11.2025";"732/2025/AKR.05";"";"136647492";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"1 469,25 €";"1 469,25";"EUR";"";""
"14.11.2025";"731/2025/AKR.05";"";"136647491";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"2 064,20 €";"2 064,20";"EUR";"";""
"14.11.2025";"730/2025/AKR.00";"";"136647490";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"1 964,17 €";"1 964,17";"EUR";"";""
"14.11.2025";"723/2025/AKR.73";"";"136647489";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"2 105,46 €";"2 105,46";"EUR";"";""
"13.11.2025";"750/2025";"";"136646408";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"93,44 €";"93,44";"EUR";"";""
"13.11.2025";"751/2025";"";"136646407";"Zlecenie anulowane";"";" TIR ";"";"";"Zamówienie";"0,00 €";"0,00";"EUR";"";""
"13.11.2025";"752/2025";"";"136646406";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"62,30 €";"62,30";"EUR";"";""
"13.11.2025";"753/2025";"";"136646405";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"29,88 €";"29,88";"EUR";"";""
"13.11.2025";"749/2025";"";"136645700";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"370,03 €";"370,03";"EUR";"";""
"13.11.2025";"748/2025";"";"136645699";"Całkowicie dostarczone";"2025/50";" TIR ";"";"";"Zamówienie";"375,05 €";"375,05";"EUR";"";""
"13.11.2025";"747/2025";"";"136645698";"Całkowicie dostarczone";"2025/50";" TIR ";"";"";"Zamówienie";"481,66 €";"481,66";"EUR";"";""
"13.11.2025";"746/2025";"";"136645659";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"58,52 €";"58,52";"EUR";"";""
"13.11.2025";"742/2025";"";"136643335";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"25,39 €";"25,39";"EUR";"";""
"13.11.2025";"737/2025";"";"136643319";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"2 300,06 €";"2 300,06";"EUR";"";""
"13.11.2025";"736/2025";"";"136643295";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"256,47 €";"256,47";"EUR";"";""
"12.11.2025";"741/2025";"";"136642596";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"181,73 €";"181,73";"EUR";"";""
"12.11.2025";"740/2025";"";"136641711";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"355,14 €";"355,14";"EUR";"";""
"12.11.2025";"739/2025";"";"136641283";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"165,06 €";"165,06";"EUR";"";""
"7.11.2025";"738/2025";"";"136632490";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"117,62 €";"117,62";"EUR";"";""
"7.11.2025";"QM 30024745";"";"136631879";"Całkowicie dostarczone";"2025/46";" TIR ";"posiada śledzenie";"";"Dostawa zastępcza";"0,00 €";"0,00";"EUR";"";""
"7.11.2025";"734/2025 HS";"";"136630284";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"1 310,06 €";"1 310,06";"EUR";"";""
"6.11.2025";"735/2025";"";"136628492";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"540,16 €";"540,16";"EUR";"";""
"6.11.2025";"724/2025/AKR.00";"";"136628491";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"4 304,36 €";"4 304,36";"EUR";"";""
"6.11.2025";"725/2025/AKR.73";"";"136628489";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"2 105,46 €";"2 105,46";"EUR";"";""
"6.11.2025";"726/2025/AKR.05";"";"136628487";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"1 469,25 €";"1 469,25";"EUR";"";""
"6.11.2025";"727/2025/AKR.05";"";"136628486";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"1 175,46 €";"1 175,46";"EUR";"";""
"5.11.2025";"719/2025";"";"136625421";"Całkowicie dostarczone";"2025/49";" TIR ";"";"";"Zamówienie";"450,07 €";"450,07";"EUR";"";""
"5.11.2025";"718/2025";"";"136625416";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"62,30 €";"62,30";"EUR";"";""
"5.11.2025";"720/2025";"";"136625415";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"404,90 €";"404,90";"EUR";"";""
"5.11.2025";"721/2025/AKR.73";"";"136625414";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"1 933,21 €";"1 933,21";"EUR";"";""
"5.11.2025";"722/2025/AKR.73";"";"136625412";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"1 541,60 €";"1 541,60";"EUR";"";""
"5.11.2025";"717/2025";"";"136622791";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"240,25 €";"240,25";"EUR";"";""
"4.11.2025";"715/2025";"";"136622379";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"86,36 €";"86,36";"EUR";"";""
"4.11.2025";"716/2025";"";"136621638";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"390,81 €";"390,81";"EUR";"";""
"4.11.2025";"713/2025/CZ";"";"136618534";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"327,69 €";"327,69";"EUR";"";""
"4.11.2025";"712/2025/AKR.05";"";"136618532";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"1 631,67 €";"1 631,67";"EUR";"";""
"4.11.2025";"704/2025";"";"136618531";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"657,37 €";"657,37";"EUR";"";""
"4.11.2025";"705/2025";"";"136618528";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"40,56 €";"40,56";"EUR";"";""
"4.11.2025";"706/2025";"";"136618526";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"501,67 €";"501,67";"EUR";"";""
"4.11.2025";"707/2025/AKR.05";"";"136618524";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"1 469,25 €";"1 469,25";"EUR";"";""
"4.11.2025";"708/2025/AKR.05";"";"136618523";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"1 493,60 €";"1 493,60";"EUR";"";""
"4.11.2025";"709/2025/AKR.73";"";"136618521";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"1 541,60 €";"1 541,60";"EUR";"";""
"4.11.2025";"710/2025/AKR.73";"";"136618520";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"2 105,46 €";"2 105,46";"EUR";"";""
"4.11.2025";"711/2025/AKR.73";"";"136618519";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"7 732,86 €";"7 732,86";"EUR";"";""
"31.10.2025";"703/2025";"";"136613632";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"295,03 €";"295,03";"EUR";"";""
"31.10.2025";"702/2025";"";"136613630";"Całkowicie dostarczone";"2025/48";" TIR ";"";"";"Zamówienie";"404,89 €";"404,89";"EUR";"";""
"28.10.2025";"700/2025";"";"136600492";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"333,97 €";"333,97";"EUR";"";""
"28.10.2025";"ZAM.697/A/2025";"";"136598351";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"62,30 €";"62,30";"EUR";"";""
"28.10.2025";"687/2025";"";"136598142";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"246,84 €";"246,84";"EUR";"";""
"28.10.2025";"697/2025";"";"136598138";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"300,01 €";"300,01";"EUR";"";""
"28.10.2025";"698/2025";"";"136598136";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"180,33 €";"180,33";"EUR";"";""
"28.10.2025";"699/2025";"";"136598133";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"241,69 €";"241,69";"EUR";"";""
"27.10.2025";"696/2025/AR.73";"";"136593769";"Całkowicie dostarczone";"2025/45";" TIR ";"";"";"Zamówienie";"7 513,49 €";"7 513,49";"EUR";"";""
"27.10.2025";"695/2025/AKR.00";"";"136593768";"Całkowicie dostarczone";"2025/45";" TIR ";"";"";"Zamówienie";"1 964,17 €";"1 964,17";"EUR";"";""
"27.10.2025";"694/2025/AKR.00";"";"136593767";"Całkowicie dostarczone";"2025/45";" TIR ";"";"";"Zamówienie";"4 304,36 €";"4 304,36";"EUR";"";""
"24.10.2025";"692/2025";"";"136590579";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"299,96 €";"299,96";"EUR";"";""
"24.10.2025";"693/2025";"";"136590577";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"207,77 €";"207,77";"EUR";"";""
"22.10.2025";"691/2025";"";"136585186";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"245,32 €";"245,32";"EUR";"";""
"22.10.2025";"690/2025";"";"136585158";"Całkowicie dostarczone";"2025/47";" TIR ";"";"";"Zamówienie";"70,25 €";"70,25";"EUR";"";""
"22.10.2025";"688/2025/AKR.68";"";"136584800";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"2 148,03 €";"2 148,03";"EUR";"";""
"22.10.2025";"689/2025/AKR.128";"";"136584796";"Całkowicie dostarczone";"2025/45";" TIR ";"";"";"Zamówienie";"1 933,21 €";"1 933,21";"EUR";"";""
"22.10.2025";"686/2025";"";"136583736";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"62,30 €";"62,30";"EUR";"";""
"21.10.2025";"685/2025";"";"136581387";"Całkowicie dostarczone";"2025/45";" TIR ";"";"";"Zamówienie";"459,07 €";"459,07";"EUR";"";""
"21.10.2025";"684/2025";"";"136581385";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"62,30 €";"62,30";"EUR";"";""
"21.10.2025";"683/2025";"";"136581384";"Całkowicie dostarczone";"2025/45";" TIR ";"";"";"Zamówienie";"331,10 €";"331,10";"EUR";"";""
"21.10.2025";"680/2025/AKR.05";"";"136578000";"Całkowicie dostarczone";"2025/44";" TIR ";"";"";"Zamówienie";"1 469,25 €";"1 469,25";"EUR";"";""
"21.10.2025";"681/2025/AKR.00";"";"136577998";"Całkowicie dostarczone";"2025/44";" TIR ";"";"";"Zamówienie";"1 469,25 €";"1 469,25";"EUR";"";""
"21.10.2025";"682/2025/CZ";"";"136577995";"Całkowicie dostarczone";"2025/44";" TIR ";"";"";"Zamówienie";"763,93 €";"763,93";"EUR";"";""
"20.10.2025";"679/2025";"";"136577767";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"237,66 €";"237,66";"EUR";"";""
"20.10.2025";"678/2025";"";"136577765";"Całkowicie dostarczone";"2025/44";" TIR ";"";"";"Zamówienie";"58,52 €";"58,52";"EUR";"";""
"20.10.2025";"677/2025";"";"136577436";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"68,47 €";"68,47";"EUR";"";""
"20.10.2025";"676/2025";"";"136576546";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"133,81 €";"133,81";"EUR";"";""
"20.10.2025";"675/2025";"";"136576545";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"386,81 €";"386,81";"EUR";"";""
"20.10.2025";"671/2025";"";"136575302";"Całkowicie dostarczone";"2025/45";" TIR ";"";"";"Zamówienie";"113,85 €";"113,85";"EUR";"";""
"20.10.2025";"670/2025";"";"136575299";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"334,28 €";"334,28";"EUR";"";""
"20.10.2025";"672/2025";"";"136575231";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"370,34 €";"370,34";"EUR";"";""
"20.10.2025";"673/2025";"";"136575227";"Całkowicie dostarczone";"2025/45";" TIR ";"";"";"Zamówienie";"632,38 €";"632,38";"EUR";"";""
"20.10.2025";"674/2025";"";"136575219";"Całkowicie dostarczone";"2025/46";" TIR ";"";"";"Zamówienie";"240,25 €";"240,25";"EUR";"";""
"15.10.2025";"669/2025";"";"136566344";"Całkowicie dostarczone";"2025/44";" TIR ";"";"";"Zamówienie";"64,82 €";"64,82";"EUR";"";""
