Numer zlecenia;Numer art.;Nowych bel;reszta
53381;18866000;10;3507
53381;18869000;14;4924
53381;19671000;12;4973
53381;19677000;3;2648
53381;202609;8;2416
53381;202623;13;2802

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3508;1195;VLAK;1;D4588
2;2929;1195;VLAK;1;D4635
3;2893;1195;VLAK;1;D4634
4;2697;1195;VLAK;1;D4635
5;2084;1195;VLAK;1;D4587
6;1931;1195;VLAK;1;D4585
7;1923;1195;VLAK;1;D4634
8;1298;1195;VLAK;1;D4585
9;730;1195;VLAK;1;D4587
Laczna liczba sztuk okien i drzwi:;9
Laczna liczba skrzydel:;15
Laczna liczba szyb:;24

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
