Numer zlecenia;Numer art.;Nowych bel;reszta
53636;18866730;7;4590
53636;19016730;3;4920
53636;19315730;9;3566
53636;19671000;11;2757
53636;202609;5;0
53636;202623;10;3108

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;2880;1195;BLOK;1;D5687
2;2880;1195;BLOK;1;D5690
3;2528;1195;BLOK;1;D5687
4;2250;1195;BLOK;1;D5687
5;1712;1195;BLOK;1;D5690
6;1548;1195;BLOK;1;D5690
7;1548;1195;BLOK;1;D5690
Laczna liczba sztuk okien i drzwi:;7
Laczna liczba skrzydel:;10
Laczna liczba szyb:;18

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
