Numer zlecenia;Numer art.;Nowych bel;reszta
53556;18866730;12;4475
53556;19016730;4;3878
53556;19315730;12;0
53556;19671000;16;3330
53556;202609;10;3903
53556;202623;14;2367

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3668;1176;BLOK;1;ROMGENS
2;3054;1201;BLOK;1;VAN TONGEREN
3;2834;1201;BLOK;1;VAN TONGEREN
4;2798;1321;BLOK;1;HARMSEN
5;2589;1421;BLOK;1;MEIJ
6;2501;1271;BLOK;1;SCHURGERS
7;1590;1421;BLOK;1;MEIJ
8;1251;1271;BLOK;1;SCHURGERS
9;1018;1321;BLOK;1;HARMSEN
Laczna liczba sztuk okien i drzwi:;9
Laczna liczba skrzydel:;17
Laczna liczba szyb:;26

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
