Numer zlecenia;Numer art.;Nowych bel;reszta
53383;18866730;8;1428
53383;18869730;13;0
53383;19671000;14;4394
53383;202609;7;4252
53383;202623;13;5044

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;2996;1085;VLAK;1;D4640
2;2996;1085;VLAK;1;D4641
3;2418;1195;VLAK;1;D4590
4;2418;1195;VLAK;1;D4591
5;2280;1195;VLAK;1;D4811
6;2266;1195;VLAK;1;D4810
7;1530;1195;VLAK;1;D4811
8;1210;1085;VLAK;1;D4640
9;1210;1085;VLAK;1;D4641
Laczna liczba sztuk okien i drzwi:;9
Laczna liczba skrzydel:;13
Laczna liczba szyb:;24

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
