Numer zlecenia;Numer art.;Nowych bel;reszta
53307-b;18866RAL 1x;2;0
53307-b;19016000;1;2700
53307-b;19315000;3;5220
53307-b;19677000;3;1452
53307-b;202609;2;3135
53307-b;202623;3;2730

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;2942;1215;BLOK;1;D4579
2;758;1215;BLOK;1;D4579
Laczna liczba sztuk okien i drzwi:;2
Laczna liczba skrzydel:;3
Laczna liczba szyb:;5

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
