Numer zlecenia;Numer art.;Nowych bel;reszta
53477-a;18866154;2;2827
53477-a;19016154;1;3360
53477-a;19315154;2;2948
53477-a;19671154;3;4829
53477-a;202609;2;4078
53477-a;202623;2;0

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3030;1435;BLOK;1;D4219
Laczna liczba sztuk okien i drzwi:;1
Laczna liczba skrzydel:;2
Laczna liczba szyb:;3

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
