Numer zlecenia;Numer art.;Nowych bel;reszta
53635;18866730;9;3405
53635;19016730;3;0
53635;19315730;11;2296
53635;19671000;14;2320
53635;202609;7;0
53635;202623;13;0

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;2730;1410;BLOK;1;D5557
2;2730;1410;BLOK;1;D5557
3;2730;1410;BLOK;1;D5556
4;2730;1410;BLOK;1;D5556
5;1830;1410;BLOK;1;D5556
6;1830;1410;BLOK;1;D5557
7;1830;1410;BLOK;1;D5556
8;1830;1410;BLOK;1;D5557
Laczna liczba sztuk okien i drzwi:;8
Laczna liczba skrzydel:;11
Laczna liczba szyb:;20

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
