Numer zlecenia;Numer art.;Nowych bel;reszta
53470;18866000;8;4897
53470;19016000;3;3840
53470;19315000;9;0
53470;19671000;12;4127
53470;202609;6;0
53470;202623;11;3860

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;4098;1435;BLOK;1;D5155
2;3431;1195;BLOK;1;D5157
3;2616;1195;BLOK;1;D4900
4;2616;1195;BLOK;1;D5042
5;2588;1195;BLOK;1;D4618
6;1486;1195;BLOK;1;D4595
Laczna liczba sztuk okien i drzwi:;6
Laczna liczba skrzydel:;11
Laczna liczba szyb:;18

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
