Numer zlecenia;Numer art.;Nowych bel;reszta
53407;18866000;8;5235
53407;19016000;3;2760
53407;19315000;9;0
53407;19671000;13;5023
53407;202609;6;0
53407;202623;11;0

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3270;1195;BLOK;2;D397
2;2650;1195;BLOK;1;D2441
3;2460;1195;BLOK;1;D3077
4;1990;1445;BLOK;1;D2921
5;1990;1445;BLOK;1;D2921
6;1650;1195;BLOK;1;D3644
Laczna liczba sztuk okien i drzwi:;7
Laczna liczba skrzydel:;11
Laczna liczba szyb:;20

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
