Numer zlecenia;Numer art.;Nowych bel;reszta
53403;18866730;2;4063
53403;19016000;1;3840
53403;19315000;2;3566
53403;19671000;2;1416
53403;202609;2;5334
53403;202623;2;2394

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;2638;1195;BLOK;1;D4761
Laczna liczba sztuk okien i drzwi:;1
Laczna liczba skrzydel:;2
Laczna liczba szyb:;3

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
