Numer zlecenia;Numer art.;Nowych bel;reszta
53406;18866730;9;3423
53406;19016730;4;4680
53406;19315730;10;3646
53406;19671000;13;0
53406;202609;8;5436
53406;202623;13;4752

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3938;1435;BLOK;1;D4455
2;2843;1435;BLOK;1;D4455
3;2336;1445;BLOK;1;D3582
4;2332;1435;BLOK;1;D4455
5;1976;1435;BLOK;1;D4229
6;1395;1445;BLOK;1;D3582
7;1350;1435;BLOK;1;D4229
Laczna liczba sztuk okien i drzwi:;7
Laczna liczba skrzydel:;12
Laczna liczba szyb:;20

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
