Numer zlecenia;Numer art.;Nowych bel;reszta
53483;18866000;5;1925
53483;19016000;2;3510
53483;19315000;7;3963
53483;19671000;9;5420
53483;202609;4;0
53483;202623;8;4690

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;2360;1285;BLOK;1;D3509
2;2341;1435;BLOK;1;D5126
3;1820;1195;BLOK;1;D2309
4;1820;1195;BLOK;1;D2309
5;1630;1435;BLOK;1;D5126
6;798;1285;BLOK;1;D3509
Laczna liczba sztuk okien i drzwi:;6
Laczna liczba skrzydel:;7
Laczna liczba szyb:;13

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
