Numer zlecenia;Numer art.;Nowych bel;reszta
53508;18866000;8;0
53508;19016000;3;3840
53508;19315000;11;2718
53508;19671000;13;5023
53508;202609;7;1818
53508;202623;12;2842

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3726;1195;BLOK;1;D2590
2;3666;1195;BLOK;1;C9971
3;3631;1195;BLOK;1;C9970
4;3260;1195;BLOK;1;C9770
5;3260;1195;BLOK;1;C9971
6;2883;1195;BLOK;1;C9970
Laczna liczba sztuk okien i drzwi:;6
Laczna liczba skrzydel:;12
Laczna liczba szyb:;18

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
