Numer zlecenia;Numer art.;Nowych bel;reszta
53559-a;18866000;6;3097
53559-a;19016000;2;1830
53559-a;19315000;9;4933
53559-a;19671000;10;0
53559-a;202609;5;3136
53559-a;202623;10;5080

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3906;1045;BLOK;1;D2327
2;3615;1145;BLOK;1;D4045
3;2914;1195;BLOK;1;D4399
4;2307;1145;BLOK;1;D4045
5;2051;1145;BLOK;1;D4045
6;1494;1195;BLOK;1;D4399
Laczna liczba sztuk okien i drzwi:;6
Laczna liczba skrzydel:;9
Laczna liczba szyb:;16

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
