Numer zlecenia;Numer art.;Nowych bel;reszta
53209;18866000;8;4326
53209;18869000;15;4686
53209;19671000;15;3581
53209;202609;7;5395
53209;202623;14;4936

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;2880;1435;VLAK;1;D3603
2;2802;1435;VLAK;1;D3603
3;2694;1195;VLAK;1;D3741
4;2576;1435;VLAK;1;D3603
5;2476;1085;VLAK;1;D3602
6;2318;1435;VLAK;1;D3806
7;2160;1435;VLAK;1;D3806
8;2060;1195;VLAK;1;D3558
9;1656;1195;VLAK;1;D3558
10;918;1195;VLAK;1;D3741
Laczna liczba sztuk okien i drzwi:;10
Laczna liczba skrzydel:;11
Laczna liczba szyb:;21
