Numer stojaka;Numer zamówienia klienta;Numer zamówienia dostawcy;Pozycja;Szerokosc;Wysokosc;Sztuk;Zlecenie;Zespolenie;Numer seryjny;Kod klienta;
3074025580;53533 AKR 18 GRUDZIEÑ;25791;3;975;1190;1;1      53533 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960774;;
3074025580;53533 AKR 18 GRUDZIEÑ;25791;1;613;1151;1;1      53533 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960772;;
3074025580;53533 AKR 18 GRUDZIEÑ;25791;2;613;1151;1;1      53533 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960773;;
3074025580;53564 AKR 18 GRUDZIEÑ;26148;3;883;1055;1;1      53564 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960769;;
3074025580;53564 AKR 18 GRUDZIEÑ;26148;5;503;1055;1;2      53564 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960771;;
3074025580;53564 AKR 18 GRUDZIEÑ;26148;1;398;951;1;1      53564 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960767;;
3074025580;53564 AKR 18 GRUDZIEÑ;26148;2;398;951;1;1      53564 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960768;;
3074025580;53564 AKR 18 GRUDZIEÑ;26148;4;398;951;1;2      53564 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960770;;
3079809147;02516  AKR 18 GRUDZIEÑ;25459;1;1217;1255;1;1      53517 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960791;;
3079809147;02516  AKR 18 GRUDZIEÑ;25459;5;1535;1055;1;1      53518 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960795;;
3079809147;02516  AKR 18 GRUDZIEÑ;25459;8;1451;1055;1;2      53518 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960798;;
3079809147;02516  AKR 18 GRUDZIEÑ;25459;2;713;1151;1;1      53517 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960792;;
3079809147;02516  AKR 18 GRUDZIEÑ;25459;3;713;951;1;1      53518 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960793;;
3079809147;02516  AKR 18 GRUDZIEÑ;25459;4;713;951;1;1      53518 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960794;;
3079809147;02516  AKR 18 GRUDZIEÑ;25459;6;713;951;1;2      53518 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960796;;
3079809147;02516  AKR 18 GRUDZIEÑ;25459;7;713;951;1;2      53518 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960797;;
3079809147;02516  AKR 18 GRUDZIEÑ;25459;9;713;951;1;3      53518 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960799;;
3079809147;53421 AKR 18 GRUDZIEÑ;25460;6;1265;1055;1;2      53421 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960790;;
3079809147;53421 AKR 18 GRUDZIEÑ;25460;3;785;1255;1;1      53421 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960787;;
3079809147;53421 AKR 18 GRUDZIEÑ;25460;4;768;951;1;2      53421 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960788;;
3079809147;53421 AKR 18 GRUDZIEÑ;25460;5;768;951;1;2      53421 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960789;;
3079809147;53421 AKR 18 GRUDZIEÑ;25460;1;651;1151;1;1      53421 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960785;;
3079809147;53421 AKR 18 GRUDZIEÑ;25460;2;651;1151;1;1      53421 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960786;;
3079809147;53522 AKR 18 GRUDZIEÑ;25593;1;618;1155;1;1      53522 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960780;;
3079809147;53522 AKR 18 GRUDZIEÑ;25593;2;513;1051;1;1      53522 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960781;;
3079809147;53522 AKR 18 GRUDZIEÑ;25593;3;499;1051;1;2      53522 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960782;;
3079809147;53522 AKR 18 GRUDZIEÑ;25593;5;633;1155;1;2      53522 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960784;;
3079809147;53522 AKR 18 GRUDZIEÑ;25593;4;499;1051;1;2      53522 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960783;;
3077016776;ZBITKA 4029_AL.25_165_INSTALATORSTWO_V251006_PROD;26514;1;1286;702;1;1:6;33.1 Therm S3 6,4\TGI 18 RAL 9005\Argon\Optifloat Clear 4\TGI 16 RAL 9005\Argon\33.1 Therm S3 6,4;20958649;;
3077016776;1180 AL.25 V251203;26428;2;1068;198;1;1180 AL.25 V251203  :1:2;33.1 Therm S3 6,4\TGI 18 RAL 9005\Argon\Optifloat Clear 4\TGI 18 RAL 9005\Argon\33.1 Therm S3 6,4;20958860;;
3077016776;1180 AL.25 V251203;26428;1;892;1877;1;1180 AL.25 V251203  :1:1;33.1 Therm S3 6,4\TGI 18 RAL 9005\Argon\Optifloat Clear 4\TGI 18 RAL 9005\Argon\33.1 Therm S3 6,4;20958859;;
3072089010;1169D AL.24 V251202 -ZS;26302;5;1439;2698;1;1169D AL.24 V251202 -ZS:8:1;Optitherm SI3 6\TGI 18 RAL 9005\Argon\Optifloat Clear 6\TGI 16 RAL 9005\Argon\Optitherm SI3 6;20956914;;
3072089010;1169D AL.24 V251202 -ZS;26302;10;1070;2567;2;1169D AL.24 V251202 -ZS:12:1;Optitherm SI3 6\TGI 18 RAL 9005\Argon\Optifloat Clear 6\TGI 16 RAL 9005\Argon\Optitherm SI3 6;20956919;;
3072089010;1169D AL.24 V251202 -ZS;26302;10;1070;2567;2;1169D AL.24 V251202 -ZS:12:1;Optitherm SI3 6\TGI 18 RAL 9005\Argon\Optifloat Clear 6\TGI 16 RAL 9005\Argon\Optitherm SI3 6;20956920;;
3072089010;1169D AL.24 V251202 -ZS;26302;1;1059;2694;1;1169D AL.24 V251202 -ZS:2:1;Optitherm SI3 6\TGI 18 RAL 9005\Argon\Optifloat Clear 6\TGI 16 RAL 9005\Argon\Optitherm SI3 6;20956910;;
3072089010;1169D AL.24 V251202 -ZS;26302;4;776;2698;1;1169D AL.24 V251202 -ZS:8:2;Optitherm SI3 6\TGI 18 RAL 9005\Argon\Optifloat Clear 6\TGI 16 RAL 9005\Argon\Optitherm SI3 6;20956913;;
3072089010;1169D AL.24 V251202 -ZS;26302;3;671;2554;1;1169D AL.24 V251202 -ZS:8:3;Optitherm SI3 6\TGI 18 RAL 9005\Argon\Optifloat Clear 6\TGI 16 RAL 9005\Argon\Optitherm SI3 6;20956912;;
3072089010;1169D AL.24 V251202 -ZS;26302;6;671;2549;1;1169D AL.24 V251202 -ZS:9:2;Optitherm SI3 6\TGI 18 RAL 9005\Argon\Optifloat Clear 6\TGI 16 RAL 9005\Argon\Optitherm SI3 6;20956915;;
3072089010;1169D AL.24 V251202 -ZS;26302;7;671;2549;1;1169D AL.24 V251202 -ZS:10:1;Optitherm SI3 6\TGI 18 RAL 9005\Argon\Optifloat Clear 6\TGI 16 RAL 9005\Argon\Optitherm SI3 6;20956916;;
3072089010;1169D AL.24 V251202 -ZS;26302;9;671;2549;1;1169D AL.24 V251202 -ZS:11:3;Optitherm SI3 6\TGI 18 RAL 9005\Argon\Optifloat Clear 6\TGI 16 RAL 9005\Argon\Optitherm SI3 6;20956918;;
3072089010;1169D AL.24 V251202 -ZS;26302;8;634;2549;1;1169D AL.24 V251202 -ZS:11:1;Optitherm SI3 6\TGI 18 RAL 9005\Argon\Optifloat Clear 6\TGI 16 RAL 9005\Argon\Optitherm SI3 6;20956917;;
3072089010;1169D AL.24 V251202 -ZS;26302;2;629;2549;1;1169D AL.24 V251202 -ZS:5:1;Optitherm SI3 6\TGI 18 RAL 9005\Argon\Optifloat Clear 6\TGI 16 RAL 9005\Argon\Optitherm SI3 6;20956911;;
3072099170;53524 AKR 18 GRUDZIEÑ;25668;3;1197;1155;1;1      53524 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960777;;
3072099170;02516  AKR 18 GRUDZIEÑ;25459;10;885;1055;1;3      53518 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960800;;
3072099170;53524 AKR 18 GRUDZIEÑ;25668;5;822;1155;1;2      53524 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20960779;;
