Numer stojaka;Numer zamówienia klienta;Numer zamówienia dostawcy;Pozycja;Szerokosc;Wysokosc;Sztuk;Zlecenie;Zespolenie;Numer seryjny;Kod klienta;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;74;1078;1240;1;3      53407 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943129;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;76;1078;1240;1;4      53407 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943131;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;42;1073;1305;1;5      53405 poz.5;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943093;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;3;1696;1055;1;1      53297 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943054;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;34;1018;1225;1;1      53405 poz.1;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20943085;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;36;1018;1225;1;2      53405 poz.2;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20943087;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;38;1258;990;1;3      53405 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943089;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;40;985;1305;1;4      53405 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943091;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;30;970;1295;1;1      53404 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943081;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;43;968;1201;1;5      53405 poz.5;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943094;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;11;934;1295;1;1      53388 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943062;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;59;922;1295;1;5      53406 poz.5;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943110;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;60;922;1295;1;5      53406 poz.5;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943111;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;33;913;1201;1;1      53405 poz.1;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20943084;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;35;913;1201;1;2      53405 poz.2;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20943086;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;94;863;1055;1;5      53409 poz.5;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943149;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;18;861;1055;1;1      53402 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943069;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;25;861;1055;1;4      53402 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943076;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;39;853;1201;1;4      53405 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943090;;
3072023854;02458 AKR 8 GRUDZIEÑ;23957;41;853;1201;1;4      53405 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943092;;
3078022561;02458 AKR 8 GRUDZIEÑ;23957;5;611;1055;1;2      53297 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943056;;
3078022561;02458 AKR 8 GRUDZIEÑ;23957;37;613;951;1;3      53405 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943088;;
3078022561;02458 AKR 8 GRUDZIEÑ;23957;51;600;1305;1;2      53406 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943102;;
3078022561;02458 AKR 8 GRUDZIEÑ;23957;19;601;951;1;2      53402 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943070;;
3078022561;02458 AKR 8 GRUDZIEÑ;23957;21;601;951;1;3      53402 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943072;;
3078022561;02458 AKR 8 GRUDZIEÑ;23957;47;582;1201;1;1      53406 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943098;;
3078022561;02458 AKR 8 GRUDZIEÑ;23957;48;582;1201;1;1      53406 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943099;;
3078022561;02458 AKR 8 GRUDZIEÑ;23957;63;580;1191;1;7      53406 poz.7;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943114;;
3078022561;02458 AKR 8 GRUDZIEÑ;23957;64;580;1191;1;7      53406 poz.7;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943115;;
3078022561;02458 AKR 8 GRUDZIEÑ;23957;53;578;1230;1;3      53406 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943104;;
3078022561;02458 AKR 8 GRUDZIEÑ;23957;6;572;951;1;1      53347 poz.1;Suncool 70/35 4\AL 16\Argon\Optifloat Clear 4;20943057;;
3078022561;02468  AKR 9 GRUDZIEÑ;24288;12;400;969;6;3      53364 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943036;;
3078022561;02458 AKR 8 GRUDZIEÑ;23957;56;593;1230;1;4      53406 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943107;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;1;668;969;1;1      53363 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942995;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;3;563;950;1;1      53363 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942997;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;7;415;950;6;1      53364 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943001;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;7;415;950;6;1      53364 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943002;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;7;415;950;6;1      53364 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943003;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;7;415;950;6;1      53364 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943004;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;7;415;950;6;1      53364 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943005;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;7;415;950;6;1      53364 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943006;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;13;415;950;6;4      53364 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943037;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;13;415;950;6;4      53364 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943038;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;13;415;950;6;4      53364 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943039;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;13;415;950;6;4      53364 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943040;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;13;415;950;6;4      53364 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943041;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;13;415;950;6;4      53364 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943042;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;10;400;969;6;2      53364 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943019;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;10;400;969;6;2      53364 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943020;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;10;400;969;6;2      53364 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943021;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;10;400;969;6;2      53364 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943022;;
3078025142;02468  AKR 9 GRUDZIEÑ;24288;10;400;969;6;2      53364 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943023;;
3078031860;02482 AKR 5 GRUDZIEÑ;24647;6;853;1055;1;1      53448 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942987;;
3078031860;02482 AKR 5 GRUDZIEÑ;24647;3;801;1299;1;1      53447 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942984;;
3078031860;02482 AKR 5 GRUDZIEÑ;24647;4;713;951;1;1      53448 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942985;;
3078031860;02482 AKR 5 GRUDZIEÑ;24647;5;713;951;1;1      53448 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942986;;
3078031860;02482 AKR 5 GRUDZIEÑ;24647;10;695;1055;1;3      53448 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942991;;
3078031860;02482 AKR 5 GRUDZIEÑ;24647;1;666;1195;1;1      53447 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942982;;
3078031860;02482 AKR 5 GRUDZIEÑ;24647;2;666;1195;1;1      53447 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942983;;
3078031860;02482 AKR 5 GRUDZIEÑ;24647;13;635;990;1;4      53448 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942994;;
3078031860;02482 AKR 5 GRUDZIEÑ;24647;8;563;951;1;3      53448 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942989;;
3078031860;02482 AKR 5 GRUDZIEÑ;24647;9;563;951;1;3      53448 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942990;;
3078031860;02482 AKR 5 GRUDZIEÑ;24647;7;536;951;1;2      53448 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942988;;
3078031860;02482 AKR 5 GRUDZIEÑ;24647;11;502;951;1;4      53448 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942992;;
3078031860;02482 AKR 5 GRUDZIEÑ;24647;12;502;951;1;4      53448 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20942993;;
3078029744;02458 AKR 8 GRUDZIEÑ;23957;9;582;951;1;2      53347 poz.2;Suncool 70/35 4\AL 16\Argon\Optifloat Clear 4;20943060;;
3078029744;02458 AKR 8 GRUDZIEÑ;23957;7;572;951;1;1      53347 poz.1;Suncool 70/35 4\AL 16\Argon\Optifloat Clear 4;20943058;;
3078029744;02458 AKR 8 GRUDZIEÑ;23957;83;526;951;1;1      53409 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943138;;
3078029744;02458 AKR 8 GRUDZIEÑ;23957;82;526;951;1;1      53409 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20943137;;
