Numer stojaka;Numer zamówienia klienta;Numer zamówienia dostawcy;Pozycja;Szerokosc;Wysokosc;Sztuk;Zlecenie;Zespolenie;Numer seryjny;Kod klienta;
3073036730;05511 AKR 15 GRUDZIEÑ;25397;20;831;1305;1;2      53485 poz.2;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20953866;;
3073036730;05511 AKR 15 GRUDZIEÑ;25397;49;829;1201;1;2      53509 poz.2;Suncool 70/35 4\AL 16\Argon\Optifloat Clear 4;20953895;;
3073036730;05511 AKR 15 GRUDZIEÑ;25397;47;799;1201;1;2      53509 poz.2;Suncool 70/35 4\AL 16\Argon\Optifloat Clear 4;20953893;;
3073036730;05511 AKR 15 GRUDZIEÑ;25397;48;799;1201;1;2      53509 poz.2;Suncool 70/35 4\AL 16\Argon\Optifloat Clear 4;20953894;;
3073036730;05511 AKR 15 GRUDZIEÑ;25397;22;763;1295;1;3      53485 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953868;;
3073036730;05511 AKR 15 GRUDZIEÑ;25397;25;763;1295;1;4      53485 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953871;;
3073036730;05511 AKR 15 GRUDZIEÑ;25397;14;760;951;1;1      53485 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953860;;
3073036730;05511 AKR 15 GRUDZIEÑ;25397;15;760;951;1;1      53485 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953861;;
3073036730;05511 AKR 15 GRUDZIEÑ;25397;3;740;1055;1;1      53478 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953849;;
3073036730;05511 AKR 15 GRUDZIEÑ;25397;41;737;951;1;6      53508 poz.6;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953887;;
3073036730;05511 AKR 15 GRUDZIEÑ;25397;42;737;951;1;6      53508 poz.6;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953888;;
3072070742;05511 AKR 15 GRUDZIEÑ;25397;34;1375;1055;1;3      53508 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953880;;
3072070742;05511 AKR 15 GRUDZIEÑ;25397;4;947;951;1;2      53478 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953850;;
3072070742;53515 AKR 15 GRUDZIEÑ;25428;2;1472;1055;1;1      53515 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953845;;
3072070742;D4164 AKR 15 GRUDZIEÑ;25423;1;839;1055;1;1      251124044 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953846;;
3072070742;53515 AKR 15 GRUDZIEÑ;25428;1;590;951;1;1      53515 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953844;;
3072070742;D3653  AKR 15 GRUDZIEÑ;25524;1;593;990;1;1    2511240412 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953843;;
3072070742;05511 AKR 15 GRUDZIEÑ;25397;57;527;951;1;5      53509 poz.5;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20953903;;
3072070742;05511 AKR 15 GRUDZIEÑ;25397;55;527;951;1;5      53509 poz.5;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20953901;;
3072070742;53433 AKR SZPROSY;25968;1;659;358;1;;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953820;;
3072070742;53433 AKR SZPROSY;25968;2;659;358;1;;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20953821;;
3077020872;02527 AKR 16 GRUDZIEÑ;25972;26;617;1027;1;3      53553 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954826;;
