Numer stojaka;Numer zamówienia klienta;Numer zamówienia dostawcy;Pozycja;Szerokosc;Wysokosc;Sztuk;Zlecenie;Zespolenie;Numer seryjny;Kod klienta;
3072034744;WOHL AKR 16 GRUDZIEÑ;26049;1;932;1381;1;1      2511280414 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954788;;
3072034744;53510 a  AKR  16 GRUDZIEÑ;26132;1;745;991;1;1      53510-a poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954787;;
3072034744;02527 AKR 16 GRUDZIEÑ;25972;50;858;1281;1;8      53555 poz.8;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954850;;
3072034744;251202049 AKR 15 GRUDZIEÑ;26294;1;749;836;1;1      251202049 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20955602;;
3072034744;53509-a  AKR 15 GRUDZIEÑ  PILNE;26283;2;686;951;1;3      53509-a poz.3;Suncool 70/35 4\AL 16\Argon\Optifloat Clear 4;20955708;;
3072034744;53509-a  AKR 15 GRUDZIEÑ  PILNE;26283;1;686;951;1;3      53509-a poz.3;Suncool 70/35 4\AL 16\Argon\Optifloat Clear 4;20955707;;
3072034744;53509-a  AKR 15 GRUDZIEÑ  PILNE;26283;3;715;951;1;3      53509-a poz.3;Suncool 70/35 4\AL 16\Argon\Optifloat Clear 4;20955709;;
3072034744;53569 AKR 16 GRUDZIEÑ  PILNE;26264;2;402;997;1;1      53569 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20955712;;
3072034744;53569 AKR 16 GRUDZIEÑ  PILNE;26264;4;403;997;1;2      53569 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20955714;;
3072034744;53569 AKR 16 GRUDZIEÑ  PILNE;26264;1;403;997;1;1      53569 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20955711;;
3072034744;53569 AKR 16 GRUDZIEÑ  PILNE;26264;5;509;1101;1;2      53569 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20955715;;
3072034744;53569 AKR 16 GRUDZIEÑ  PILNE;26264;3;548;1101;1;1      53569 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20955713;;
3074038689;1185 AL.25 V251128;25961;1;742;1897;1;1185 AL.25 V251121 ZM  :1:1;33.1 Therm S3 6,4\TGI 18 RAL 9005\Argon\Optifloat Clear 4\TGI 16 RAL 9005\Argon\33.1 Therm S3 6,4;20952475;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;15;906;1041;1;1      53552 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954815;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;57;877;1181;1;2      53556 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954860;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;24;864;1131;1;2      53553 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954824;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;70;862;1036;1;7      53556 poz.7;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954873;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;71;862;1036;1;7      53556 poz.7;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954874;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;30;815;981;1;1      53555 poz.1;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20954830;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;32;815;981;1;1      53555 poz.1;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20954832;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;35;792;981;1;2      53555 poz.2;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20954835;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;65;778;1131;1;5      53556 poz.5;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954868;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;54;774;1077;1;1      53556 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954857;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;27;763;1131;1;3      53553 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954827;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;28;763;1131;1;3      53553 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954828;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;14;759;937;1;1      53552 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954814;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;13;758;937;1;1      53552 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954813;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;18;749;1041;1;2      53552 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954818;;
3076033859;02527 AKR 16 GRUDZIEÑ;25972;55;732;1077;1;2      53556 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954858;;
3074038689;53314-b;25437;1;1463;1045;1;1      53314-szyba poz.1;Optifloat Clear 6 Hartowanie Obróbka boków, kraw\Folia 0,76 Clear20 X1\Optifloat Clear 6 Hartowanie Obróbka boków, kraw;20958844;;
