Numer stojaka;Numer zamówienia klienta;Numer zamówienia dostawcy;Pozycja;Szerokosc;Wysokosc;Sztuk;Zlecenie;Zespolenie;Numer seryjny;Kod klienta;
3078012807;02509 AKR 9 GRUDZIEÑ;25290;3;1222;1001;1;1      53505 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20946406;;
3078012807;02509 AKR 9 GRUDZIEÑ;25290;13;718;1101;1;1      53506 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20946416;;
3078012807;02509 AKR 9 GRUDZIEÑ;25290;15;681;1101;1;2      53506 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20946418;;
3078012807;02509 AKR 9 GRUDZIEÑ;25290;7;678;1171;1;3      53505 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20946410;;
3078012807;02509 AKR 9 GRUDZIEÑ;25290;10;657;1171;1;4      53505 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20946413;;
3078012807;02509 AKR 9 GRUDZIEÑ;25290;1;598;897;1;1      53505 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20946404;;
3078012807;02509 AKR 9 GRUDZIEÑ;25290;2;598;897;1;1      53505 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20946405;;
3078012807;02509 AKR 9 GRUDZIEÑ;25290;14;575;997;1;2      53506 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20946417;;
3078012807;02509 AKR 9 GRUDZIEÑ;25290;6;572;1067;1;3      53505 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20946409;;
3078012807;02509 AKR 9 GRUDZIEÑ;25290;11;573;997;1;1      53506 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20946414;;
3078012807;02509 AKR 9 GRUDZIEÑ;25290;12;572;997;1;1      53506 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20946415;;
3078012807;02509 AKR 9 GRUDZIEÑ;25290;5;547;936;1;2      53505 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20946408;;
