Numer stojaka;Numer zamówienia klienta;Numer zamówienia dostawcy;Pozycja;Szerokosc;Wysokosc;Sztuk;Zlecenie;Zespolenie;Numer seryjny;Kod klienta;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;46;614;1185;1;2      53467 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949673;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;47;614;1185;1;2      53467 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949674;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;1;613;951;1;1      53389 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949628;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;3;613;951;1;1      53389 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949630;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;6;613;951;1;3      53389 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949633;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;8;613;951;1;3      53389 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949635;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;10;613;951;1;4      53389 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949637;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;11;613;951;1;4      53389 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949638;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;31;608;1049;1;3      53465 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949658;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;41;610;945;1;3      53466 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949668;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;33;605;1049;1;4      53465 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949660;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;85;586;1191;1;3      53474 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949712;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;86;586;1191;1;4      53474 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949713;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;5;586;951;1;2      53389 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949632;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;58;583;951;1;2      53468 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949685;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;60;583;951;1;3      53468 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949687;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;61;583;951;1;4      53468 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949688;;
3078018229;02498 AKR 12 GRUDZIEÑ  Korekta;25306;62;583;951;1;4      53468 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949689;;
3074021230;02498 AKR 12 GRUDZIEÑ  Korekta;25306;50;710;945;1;3      53467 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949677;;
3074021230;02498 AKR 12 GRUDZIEÑ  Korekta;25306;51;710;945;1;3      53467 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949678;;
3074021230;02498 AKR 12 GRUDZIEÑ  Korekta;25306;57;688;990;1;2      53468 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949684;;
3074021230;02498 AKR 12 GRUDZIEÑ  Korekta;25306;26;677;1185;1;1      53465 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20949653;;
