Data 20.11.2025    Godzina 12:57

Numer 02506 AKR 9 GRUDZIEÑ

PILKINGTON

Symbol                                   Iloœæ   Szer     Wys    Poz   Zlecenie           
4S3/12/4/12/4S3 Ug=0.7 ALU                  2     576     861     1      53366 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  2     575     861     1      53366 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  2     724     965     1      53366 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     461     897     1      53498 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     539     897     2      53498 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     540     897     2      53498 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     687    1001     2      53498 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     515    1077     1      53499 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     516    1077     1      53499 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     663    1181     1      53499 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     661    1077     2      53499 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     661    1077     2      53499 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     809    1181     2      53499 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     809    1181     2      53499 poz.2             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     728    1087     1      53500 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     875    1191     1      53500 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     728    1087     1      53500 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     875    1191     1      53500 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     706    1027     2      53500 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     853    1131     2      53500 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     706    1027     2      53500 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     853    1131     2      53500 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     663     627     3      53500 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     810     731     3      53500 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     663     627     3      53500 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     810     731     3      53500 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     525    1117     1      53501 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     665    1221     1      53501 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     525    1117     1      53501 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     665    1221     1      53501 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     574    1221     2      53501 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     469    1117     2      53501 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     784    1177     3      53501 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     784    1177     3      53501 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     932    1281     3      53501 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     695     987     4      53501 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     843    1091     4      53501 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     695     987     4      53501 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     843    1091     4      53501 poz.4             
