Data 20.11.2025    Godzina 12:57

Numer 02506 AKR 9 GRUDZIEÑ

PILKINGTON

Symbol                                   Iloœæ   Szer     Wys    Poz   Zlecenie           
4/16/4S3 Ug=1.1 ALU                         1     559    1431     5      53501 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     453    1327     5      53501 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     635    1327     6      53501 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     635    1327     6      53501 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     782    1431     6      53501 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     563    1327     7      53501 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     562    1327     7      53501 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     709    1431     7      53501 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     466     977     8      53501 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     466     977     8      53501 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     613    1081     8      53501 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     483     707     1      53502 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     483     707     1      53502 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     630     811     1      53502 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     427     707     2      53502 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     428     707     2      53502 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     575     811     2      53502 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     641     987     3      53502 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     642     987     3      53502 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     789    1091     3      53502 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     511     987     4      53502 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     617    1091     4      53502 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     630    1027     5      53502 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     777    1131     5      53502 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     777    1131     5      53502 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     630    1027     5      53502 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     673    1027     5      53502 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     658    1027     6      53502 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     742    1277     7      53502 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     889    1381     7      53502 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     742    1277     7      53502 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     692    1277     8      53502 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     840    1381     8      53502 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     692    1277     8      53502 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     840    1381     8      53502 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     538     967     1      53503 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     586     967     2      53503 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     587     967     2      53503 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     734    1071     2      53503 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     815     917     3      53503 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     921    1021     3      53503 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     792     917     4      53503 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     897    1021     4      53503 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     636    1097     5      53503 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     636    1097     5      53503 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     784    1201     5      53503 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     784    1201     5      53503 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     461     897     6      53503 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     461     897     6      53503 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     608    1001     6      53503 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     587    1137     7      53503 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     587    1137     7      53503 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     735    1241     7      53503 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     735    1241     7      53503 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     577    1157     8      53503 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     577    1157     8      53503 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     725    1261     8      53503 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     725    1261     8      53503 poz.8             


                              W.Kania

 Dostawa na  1 12 25 PONIEDZIALEK
