Data 28.11.2025    Godzina 10:44

Numer 02527 AKR 16 GRUDZIEÑ

PILKINGTON

Symbol                                   Iloœæ   Szer     Wys    Poz   Zlecenie           
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     668     877     1      53555 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     815     981     1      53555 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     645     877     2      53555 poz.2             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     645     877     2      53555 poz.2             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     792     981     2      53555 poz.2             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     488    1157     3      53555 poz.3             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     489    1157     3      53555 poz.3             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     636    1261     3      53555 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     528     824     4      53555 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     632     928     4      53555 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     528     824     5      53555 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     632     928     5      53555 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     586     677     6      53555 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     732     781     6      53555 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     586     677     6      53555 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     732     781     6      53555 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     521     677     7      53555 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     711    1177     8      53555 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     711    1177     8      53555 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     858    1281     8      53555 poz.8             
4/16/4S3 Ug=1.1 ALU                         2     564     897     9      53555 poz.9             
4/16/4S3 Ug=1.1 ALU                         2     564     897     9      53555 poz.9             
4/16/4S3 Ug=1.1 ALU                         2     710    1001     9      53555 poz.9             
4/16/4S3 Ug=1.1 ALU                         1     774    1077     1      53556 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     732    1077     2      53556 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     731    1077     2      53556 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     877    1181     2      53556 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     593    1177     3      53556 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     593    1177     3      53556 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     661    1177     4      53556 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     661    1177     4      53556 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     704    1177     4      53556 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     633    1027     5      53556 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     632    1027     5      53556 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     778    1131     5      53556 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     423    1027     6      53556 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     529    1131     6      53556 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     715     932     7      53556 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     715     932     7      53556 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     862    1036     7      53556 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     862    1036     7      53556 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     562     957     8      53556 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     562     957     8      53556 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     708    1061     8      53556 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     708    1061     8      53556 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     506     957     9      53556 poz.9             
4/16/4S3 Ug=1.1 ALU                         1     506     957     9      53556 poz.9             
4/16/4S3 Ug=1.1 ALU                         1     654    1061     9      53556 poz.9             
4/16/4S3 Ug=1.1 ALU                         1     654    1061     9      53556 poz.9             


                              W.Kania

 Dostawa na  5 12 25 PIATEK
