Data 28.11.2025    Godzina 10:44

Numer 02527 AKR 16 GRUDZIEÑ

PILKINGTON

Symbol                                   Iloœæ   Szer     Wys    Poz   Zlecenie           
4/16/4S3 Ug=1.1 ALU                         1     544     997     1      53387 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     543     997     1      53387 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     689    1101     1      53387 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     569     997     2      53387 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     568     997     2      53387 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     714    1101     2      53387 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     511     903     1      53426 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     616    1007     1      53426 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     512     903     2      53426 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     658    1007     2      53426 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     512     903     2      53426 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     658    1007     2      53426 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     758     937     1      53552 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     759     937     1      53552 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     906    1041     1      53552 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     604     937     2      53552 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     603     937     2      53552 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     749    1041     2      53552 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     509    1087     1      53553 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     508    1087     1      53553 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     654    1191     1      53553 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     717    1027     2      53553 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     717    1027     2      53553 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     864    1131     2      53553 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     617    1027     3      53553 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     617    1027     3      53553 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     763    1131     3      53553 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     763    1131     3      53553 poz.3             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     668     877     1      53555 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     815     981     1      53555 poz.1             
