Data 20.11.2025    Godzina 10:54

Numer 02505 AKR 12 GRUDZIEÑ

PILKINGTON

Symbol                                   Iloœæ   Szer     Wys    Poz   Zlecenie           
4/16/4S3 Ug=1.1 ALU                         1     528     895     1      53490 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     633     999     1      53490 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     528     895     2      53490 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     841     999     2      53490 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     528     895     2      53490 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     528     895     3      53490 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     841     999     3      53490 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     528     895     3      53490 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     528     895     4      53490 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     633     999     4      53490 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     710     945     5      53490 poz.5             
4/16/4S3 Ug=1.1 ALU                         1    1360    1049     5      53490 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     710     945     6      53490 poz.6             
4/16/4S3 Ug=1.1 ALU                         1    1306    1049     6      53490 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     396    1035     1      53491 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     619    1074     2      53491 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     426    1035     2      53491 poz.2             
4/16/4S3 Ug=1.1 ALU                         1    1078    1074     3      53491 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     551    1035     3      53491 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     656    1074     4      53491 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     551    1035     4      53491 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     605     945     5      53491 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     605     945     5      53491 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     741     984     5      53491 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     737    1049     6      53491 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     631     945     6      53491 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     737    1049     7      53491 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     631     945     7      53491 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     713    1191     1      53492 poz.1             
4/16/4S3 Ug=1.1 ALU                         1    1061    1230     1      53492 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     713    1191     2      53492 poz.2             
4/16/4S3 Ug=1.1 ALU                         1    1061    1230     2      53492 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     625     951     3      53492 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     757     990     3      53492 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     625     951     3      53492 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     413     951     1      53493 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     518    1055     1      53493 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     513     951     2      53493 poz.2             
4/16/4S3 Ug=1.1 ALU                         1    1043    1055     2      53493 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     513     951     2      53493 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     710    1185     1      53494 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     815    1289     1      53494 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     710    1185     2      53494 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     815    1289     2      53494 poz.2             


                              W.Kania

 Dostawa na  3 12 25 SRODA
