Data 17.11.2025    Godzina 09:12

Numer 02484 AKR 8 GRUDZIEÑ

PILKINGTON

Symbol                                   Iloœæ   Szer     Wys    Poz   Zlecenie           
4/16/4S3 Ug=1.1 ALU                         1     548     951     1      53449 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     548     951     1      53449 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     680    1055     1      53449 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     795    1191     2      53449 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     795    1191     2      53449 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     928    1295     2      53449 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     928    1295     2      53449 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     613     751     1      53450 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     932     855     1      53450 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     613     751     2      53450 poz.2             
4/16/4S3 Ug=1.1 ALU                         1    1290     855     2      53450 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     613     751     2      53450 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     659    1191     3      53450 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     686    1191     4      53450 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     819    1295     4      53450 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     686    1191     4      53450 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     546     901     5      53450 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     679    1005     5      53450 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     546     901     5      53450 poz.5             


                              W.Kania

 Dostawa na  28 11 25 PIATEK
