Numer zlecenia;Numer art.;Nowych bel;reszta
53373;18866145;3;5070
53373;19016148;1;1680
53373;19315148;4;4783
53373;19671050;4;0
53373;202609;2;1549
53373;202623;4;2790

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;4134;1195;BLOK;1;C5229
2;1959;1195;BLOK;1;C5229
Laczna liczba sztuk okien i drzwi:;2
Laczna liczba skrzydel:;3
Laczna liczba szyb:;6
