Numer zlecenia;Numer art.;Nowych bel;reszta
53409;18866050;6;1246
53409;19016050;2;2760
53409;19315050;6;0
53409;19671050;8;2829
53409;202609;5;1384
53409;202623;7;0

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;2780;1195;BLOK;1;D3127
2;2454;1195;BLOK;1;D1823
3;2170;1195;BLOK;1;D1822
4;1970;1195;BLOK;1;D3128
5;1826;1195;BLOK;1;D1823
Laczna liczba sztuk okien i drzwi:;5
Laczna liczba skrzydel:;9
Laczna liczba szyb:;13

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
